,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_L2,0.33962264150943394,0.768,accuracy,0.1482832431793213,0.10232877731323242,13.07156753540039,0.0039484500885009766,0.0010004043579101562,0.22289562225341797,2,True,14
1,ExtraTreesEntr,0.33962264150943394,0.716,accuracy,0.18411707878112793,0.09560632705688477,1.3829612731933594,0.18411707878112793,0.09560632705688477,1.3829612731933594,1,True,10
2,ExtraTreesGini,0.33962264150943394,0.714,accuracy,0.2117464542388916,0.14201140403747559,1.362722396850586,0.2117464542388916,0.14201140403747559,1.362722396850586,1,True,9
3,LightGBMLarge,0.3333333333333333,0.736,accuracy,0.020235300064086914,0.007006168365478516,6.821272373199463,0.020235300064086914,0.007006168365478516,6.821272373199463,1,True,13
4,RandomForestEntr,0.3270440251572327,0.744,accuracy,0.10907673835754395,0.06419134140014648,1.3600571155548096,0.10907673835754395,0.06419134140014648,1.3600571155548096,1,True,7
5,RandomForestGini,0.31446540880503143,0.746,accuracy,0.10647940635681152,0.08480525016784668,1.0717568397521973,0.10647940635681152,0.08480525016784668,1.0717568397521973,1,True,6
6,LightGBM,0.3018867924528302,0.756,accuracy,0.006999492645263672,0.0060007572174072266,1.9723410606384277,0.006999492645263672,0.0060007572174072266,1.9723410606384277,1,True,5
7,CatBoost,0.29559748427672955,0.744,accuracy,0.010620594024658203,0.0035161972045898438,2.9833016395568848,0.010620594024658203,0.0035161972045898438,2.9833016395568848,1,True,8
8,KNeighborsDist,0.29559748427672955,0.58,accuracy,0.025431156158447266,0.03298544883728027,0.008014202117919922,0.025431156158447266,0.03298544883728027,0.008014202117919922,1,True,2
9,XGBoost,0.2893081761006289,0.744,accuracy,0.0828251838684082,0.006705522537231445,1.698035478591919,0.0828251838684082,0.006705522537231445,1.698035478591919,1,True,11
10,LightGBMXT,0.27672955974842767,0.716,accuracy,0.0265047550201416,0.017152070999145508,2.524329662322998,0.0265047550201416,0.017152070999145508,2.524329662322998,1,True,4
11,KNeighborsUnif,0.2641509433962264,0.576,accuracy,0.04454469680786133,0.020707368850708008,0.0070171356201171875,0.04454469680786133,0.020707368850708008,0.0070171356201171875,1,True,1
12,NeuralNetFastAI,0.2389937106918239,0.59,accuracy,0.017023324966430664,0.013470172882080078,4.338716268539429,0.017023324966430664,0.013470172882080078,4.338716268539429,1,True,3
13,NeuralNetTorch,0.22641509433962265,0.646,accuracy,0.012000322341918945,0.009884119033813477,18.3602876663208,0.012000322341918945,0.009884119033813477,18.3602876663208,1,True,12
