,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,LightGBMLarge,0.6216216216216216,0.69,accuracy,0.008502960205078125,0.004979372024536133,1.6357543468475342,0.008502960205078125,0.004979372024536133,1.6357543468475342,1,True,13
1,CatBoost,0.6081081081081081,0.71,accuracy,0.009978532791137695,0.0010046958923339844,1.905430793762207,0.009978532791137695,0.0010046958923339844,1.905430793762207,1,True,8
2,WeightedEnsemble_L2,0.6081081081081081,0.72,accuracy,0.10656857490539551,0.08400464057922363,5.886590480804443,0.0030045509338378906,0.0009987354278564453,0.11855101585388184,2,True,14
3,LightGBM,0.5945945945945946,0.698,accuracy,0.008000612258911133,0.003998517990112305,0.7506978511810303,0.008000612258911133,0.003998517990112305,0.7506978511810303,1,True,5
4,XGBoost,0.581081081081081,0.702,accuracy,0.04133725166320801,0.002572298049926758,0.669170618057251,0.04133725166320801,0.002572298049926758,0.669170618057251,1,True,11
5,NeuralNetTorch,0.5675675675675675,0.64,accuracy,0.011004447937011719,0.004998445510864258,10.327317953109741,0.011004447937011719,0.004998445510864258,10.327317953109741,1,True,12
6,NeuralNetFastAI,0.5675675675675675,0.574,accuracy,0.014437437057495117,0.022570371627807617,2.413186550140381,0.014437437057495117,0.022570371627807617,2.413186550140381,1,True,3
7,RandomForestGini,0.5540540540540541,0.67,accuracy,0.07697772979736328,0.04901123046875,0.6722307205200195,0.07697772979736328,0.04901123046875,0.6722307205200195,1,True,6
8,LightGBMXT,0.5405405405405406,0.698,accuracy,0.04779982566833496,0.013999462127685547,1.5744035243988037,0.04779982566833496,0.013999462127685547,1.5744035243988037,1,True,4
9,RandomForestEntr,0.5405405405405406,0.684,accuracy,0.07114744186401367,0.05543231964111328,0.6987242698669434,0.07114744186401367,0.05543231964111328,0.6987242698669434,1,True,7
10,KNeighborsDist,0.40540540540540543,0.57,accuracy,0.017571687698364258,0.024654150009155273,0.006000995635986328,0.017571687698364258,0.024654150009155273,0.006000995635986328,1,True,2
11,ExtraTreesGini,0.40540540540540543,0.668,accuracy,0.1364295482635498,0.0855703353881836,0.6478679180145264,0.1364295482635498,0.0855703353881836,0.6478679180145264,1,True,9
12,ExtraTreesEntr,0.40540540540540543,0.666,accuracy,0.16402053833007812,0.048149824142456055,0.699864387512207,0.16402053833007812,0.048149824142456055,0.699864387512207,1,True,10
13,KNeighborsUnif,0.33783783783783783,0.58,accuracy,0.01959538459777832,0.018992185592651367,0.004961490631103516,0.01959538459777832,0.018992185592651367,0.004961490631103516,1,True,1
