,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,KNeighborsUnif,0.6375,0.536,accuracy,0.027131080627441406,0.037943363189697266,0.006986379623413086,0.027131080627441406,0.037943363189697266,0.006986379623413086,1,True,1
1,KNeighborsDist,0.63125,0.53,accuracy,0.046173810958862305,0.029143333435058594,0.008003473281860352,0.046173810958862305,0.029143333435058594,0.008003473281860352,1,True,2
2,ExtraTreesGini,0.55,0.67,accuracy,0.1918935775756836,0.07799410820007324,1.2393162250518799,0.1918935775756836,0.07799410820007324,1.2393162250518799,1,True,9
3,NeuralNetFastAI,0.525,0.58,accuracy,0.02708721160888672,0.017987728118896484,5.06731915473938,0.02708721160888672,0.017987728118896484,5.06731915473938,1,True,3
4,ExtraTreesEntr,0.5125,0.658,accuracy,0.1693134307861328,0.0610654354095459,1.234480857849121,0.1693134307861328,0.0610654354095459,1.234480857849121,1,True,10
5,NeuralNetTorch,0.4875,0.628,accuracy,0.01061391830444336,0.009992837905883789,16.281689405441284,0.01061391830444336,0.009992837905883789,16.281689405441284,1,True,12
6,CatBoost,0.45,0.718,accuracy,0.013015985488891602,0.0029904842376708984,6.016456604003906,0.013015985488891602,0.0029904842376708984,6.016456604003906,1,True,8
7,RandomForestGini,0.44375,0.72,accuracy,0.10175752639770508,0.0767827033996582,1.2745916843414307,0.10175752639770508,0.0767827033996582,1.2745916843414307,1,True,6
8,LightGBMXT,0.4375,0.704,accuracy,0.06267595291137695,0.025002241134643555,3.131775379180908,0.06267595291137695,0.025002241134643555,3.131775379180908,1,True,4
9,RandomForestEntr,0.4375,0.712,accuracy,0.1289052963256836,0.06473064422607422,1.2543139457702637,0.1289052963256836,0.06473064422607422,1.2543139457702637,1,True,7
10,LightGBMLarge,0.43125,0.708,accuracy,0.023000240325927734,0.009361743927001953,7.423521518707275,0.023000240325927734,0.009361743927001953,7.423521518707275,1,True,13
11,WeightedEnsemble_L2,0.35,0.734,accuracy,0.029145479202270508,0.013370037078857422,8.533582925796509,0.003098726272583008,0.00099945068359375,0.2439422607421875,2,True,14
12,LightGBM,0.3375,0.728,accuracy,0.013030767440795898,0.009380102157592773,2.273184061050415,0.013030767440795898,0.009380102157592773,2.273184061050415,1,True,5
13,XGBoost,0.15625,0.716,accuracy,0.05691981315612793,0.0030176639556884766,1.4559175968170166,0.05691981315612793,0.0030176639556884766,1.4559175968170166,1,True,11
