,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,CatBoost,0.6346153846153846,0.738,accuracy,0.005999088287353516,0.0009815692901611328,2.1825225353240967,0.005999088287353516,0.0009815692901611328,2.1825225353240967,1,True,8
1,WeightedEnsemble_L2,0.6346153846153846,0.738,accuracy,0.008999347686767578,0.0009815692901611328,2.28924822807312,0.0030002593994140625,0.0,0.10672569274902344,2,True,14
2,LightGBMXT,0.6217948717948718,0.704,accuracy,0.03747916221618652,0.00999903678894043,1.0669305324554443,0.03747916221618652,0.00999903678894043,1.0669305324554443,1,True,4
3,NeuralNetFastAI,0.6153846153846154,0.564,accuracy,0.015008687973022461,0.01633930206298828,2.37139892578125,0.015008687973022461,0.01633930206298828,2.37139892578125,1,True,3
4,RandomForestGini,0.6153846153846154,0.688,accuracy,0.09750676155090332,0.04970502853393555,0.6309020519256592,0.09750676155090332,0.04970502853393555,0.6309020519256592,1,True,6
5,XGBoost,0.6089743589743589,0.732,accuracy,0.051995277404785156,0.003083944320678711,0.7609868049621582,0.051995277404785156,0.003083944320678711,0.7609868049621582,1,True,11
6,ExtraTreesGini,0.6089743589743589,0.676,accuracy,0.11581087112426758,0.07317090034484863,0.6604225635528564,0.11581087112426758,0.07317090034484863,0.6604225635528564,1,True,9
7,ExtraTreesEntr,0.6025641025641025,0.676,accuracy,0.1336672306060791,0.07348513603210449,0.7152791023254395,0.1336672306060791,0.07348513603210449,0.7152791023254395,1,True,10
8,RandomForestEntr,0.5961538461538461,0.688,accuracy,0.06612896919250488,0.047904253005981445,0.6920673847198486,0.06612896919250488,0.047904253005981445,0.6920673847198486,1,True,7
9,NeuralNetTorch,0.5833333333333334,0.654,accuracy,0.0069997310638427734,0.0055081844329833984,10.432783365249634,0.0069997310638427734,0.0055081844329833984,10.432783365249634,1,True,12
10,LightGBMLarge,0.5641025641025641,0.706,accuracy,0.034509897232055664,0.00956416130065918,2.5906784534454346,0.034509897232055664,0.00956416130065918,2.5906784534454346,1,True,13
11,LightGBM,0.532051282051282,0.734,accuracy,0.02400350570678711,0.008157968521118164,1.0657885074615479,0.02400350570678711,0.008157968521118164,1.0657885074615479,1,True,5
12,KNeighborsUnif,0.48717948717948717,0.57,accuracy,0.017166614532470703,0.017962932586669922,0.005015850067138672,0.017166614532470703,0.017962932586669922,0.005015850067138672,1,True,1
13,KNeighborsDist,0.4551282051282051,0.55,accuracy,0.01701211929321289,0.019997119903564453,0.007008075714111328,0.01701211929321289,0.019997119903564453,0.007008075714111328,1,True,2
