,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,LightGBMLarge,0.19753086419753085,0.698,accuracy,0.03400230407714844,0.010102033615112305,2.7385025024414062,0.03400230407714844,0.010102033615112305,2.7385025024414062,1,True,13
1,NeuralNetFastAI,0.15432098765432098,0.594,accuracy,0.026962995529174805,0.022625446319580078,2.3510422706604004,0.026962995529174805,0.022625446319580078,2.3510422706604004,1,True,3
2,KNeighborsDist,0.15432098765432098,0.598,accuracy,0.03678107261657715,0.019299030303955078,0.007001161575317383,0.03678107261657715,0.019299030303955078,0.007001161575317383,1,True,2
3,CatBoost,0.13580246913580246,0.698,accuracy,0.020100116729736328,0.001975536346435547,3.959416627883911,0.020100116729736328,0.001975536346435547,3.959416627883911,1,True,8
4,LightGBMXT,0.12962962962962962,0.688,accuracy,0.02099752426147461,0.007977008819580078,1.1192128658294678,0.02099752426147461,0.007977008819580078,1.1192128658294678,1,True,4
5,ExtraTreesGini,0.12345679012345678,0.67,accuracy,0.17573142051696777,0.051258087158203125,0.6161682605743408,0.17573142051696777,0.051258087158203125,0.6161682605743408,1,True,9
6,LightGBM,0.11728395061728394,0.72,accuracy,0.011174678802490234,0.006981372833251953,0.9727375507354736,0.011174678802490234,0.006981372833251953,0.9727375507354736,1,True,5
7,WeightedEnsemble_L2,0.11728395061728394,0.72,accuracy,0.01317286491394043,0.008979558944702148,1.0804591178894043,0.0019981861114501953,0.0019981861114501953,0.10772156715393066,2,True,14
8,KNeighborsUnif,0.11728395061728394,0.588,accuracy,0.03690457344055176,0.01900196075439453,0.005985260009765625,0.03690457344055176,0.01900196075439453,0.005985260009765625,1,True,1
9,ExtraTreesEntr,0.11728395061728394,0.672,accuracy,0.10581445693969727,0.04704713821411133,0.6713743209838867,0.10581445693969727,0.04704713821411133,0.6713743209838867,1,True,10
10,NeuralNetTorch,0.09876543209876543,0.642,accuracy,0.01099705696105957,0.004930734634399414,10.228516340255737,0.01099705696105957,0.004930734634399414,10.228516340255737,1,True,12
11,XGBoost,0.09876543209876543,0.706,accuracy,0.07251238822937012,0.0029959678649902344,0.9031758308410645,0.07251238822937012,0.0029959678649902344,0.9031758308410645,1,True,11
12,RandomForestGini,0.08641975308641975,0.674,accuracy,0.08486199378967285,0.046797752380371094,0.685826301574707,0.08486199378967285,0.046797752380371094,0.685826301574707,1,True,6
13,RandomForestEntr,0.07407407407407407,0.698,accuracy,0.11862826347351074,0.05023622512817383,0.6973106861114502,0.11862826347351074,0.05023622512817383,0.6973106861114502,1,True,7
