,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,NeuralNetFastAI,0.6746031746031746,0.578,accuracy,0.01303553581237793,0.015049457550048828,2.403689384460449,0.01303553581237793,0.015049457550048828,2.403689384460449,1,True,3
1,LightGBMXT,0.6111111111111112,0.71,accuracy,0.03750872611999512,0.011909961700439453,1.4565975666046143,0.03750872611999512,0.011909961700439453,1.4565975666046143,1,True,4
2,LightGBM,0.5793650793650794,0.73,accuracy,0.008999824523925781,0.004999876022338867,0.7941544055938721,0.008999824523925781,0.004999876022338867,0.7941544055938721,1,True,5
3,WeightedEnsemble_L2,0.5714285714285714,0.738,accuracy,0.10785150527954102,0.06261944770812988,6.445029020309448,0.003999471664428711,0.0005900859832763672,0.11789155006408691,2,True,14
4,ExtraTreesEntr,0.5555555555555556,0.678,accuracy,0.0887908935546875,0.059595584869384766,0.6129717826843262,0.0887908935546875,0.059595584869384766,0.6129717826843262,1,True,10
5,NeuralNetTorch,0.5476190476190477,0.648,accuracy,0.010001659393310547,0.005959033966064453,8.542891025543213,0.010001659393310547,0.005959033966064453,8.542891025543213,1,True,12
6,CatBoost,0.5396825396825397,0.718,accuracy,0.00799870491027832,0.0030002593994140625,2.8739376068115234,0.00799870491027832,0.0030002593994140625,2.8739376068115234,1,True,8
7,KNeighborsUnif,0.5396825396825397,0.556,accuracy,0.01706242561340332,0.01623988151550293,0.005005359649658203,0.01706242561340332,0.01623988151550293,0.005005359649658203,1,True,1
8,LightGBMLarge,0.5317460317460317,0.718,accuracy,0.0113677978515625,0.0050013065338134766,1.9370551109313965,0.0113677978515625,0.0050013065338134766,1.9370551109313965,1,True,13
9,KNeighborsDist,0.5317460317460317,0.552,accuracy,0.01834416389465332,0.01804661750793457,0.005014896392822266,0.01834416389465332,0.01804661750793457,0.005014896392822266,1,True,2
10,RandomForestGini,0.5317460317460317,0.69,accuracy,0.0705113410949707,0.04712653160095215,0.6513557434082031,0.0705113410949707,0.04712653160095215,0.6513557434082031,1,True,6
11,ExtraTreesGini,0.5238095238095238,0.672,accuracy,0.07970714569091797,0.048067569732666016,0.792151927947998,0.07970714569091797,0.048067569732666016,0.792151927947998,1,True,9
12,RandomForestEntr,0.5,0.71,accuracy,0.0754857063293457,0.04902791976928711,0.7219903469085693,0.0754857063293457,0.04902791976928711,0.7219903469085693,1,True,7
13,XGBoost,0.47619047619047616,0.724,accuracy,0.04873919486999512,0.003000974655151367,0.8254122734069824,0.04873919486999512,0.003000974655151367,0.8254122734069824,1,True,11
