,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,XGBoost,0.43119266055045874,0.726,accuracy,0.09733963012695312,0.0030007362365722656,0.9245550632476807,0.09733963012695312,0.0030007362365722656,0.9245550632476807,1,True,11
1,NeuralNetFastAI,0.4036697247706422,0.59,accuracy,0.016583919525146484,0.018955707550048828,3.2849717140197754,0.016583919525146484,0.018955707550048828,3.2849717140197754,1,True,3
2,LightGBM,0.3302752293577982,0.734,accuracy,0.010998725891113281,0.0060040950775146484,0.9165287017822266,0.010998725891113281,0.0060040950775146484,0.9165287017822266,1,True,5
3,WeightedEnsemble_L2,0.3302752293577982,0.734,accuracy,0.011997699737548828,0.0060040950775146484,1.0352363586425781,0.0009989738464355469,0.0,0.11870765686035156,2,True,14
4,ExtraTreesGini,0.3302752293577982,0.678,accuracy,0.1053001880645752,0.11997818946838379,1.0167458057403564,0.1053001880645752,0.11997818946838379,1.0167458057403564,1,True,9
5,LightGBMLarge,0.3211009174311927,0.704,accuracy,0.006000518798828125,0.0039975643157958984,1.6858835220336914,0.006000518798828125,0.0039975643157958984,1.6858835220336914,1,True,13
6,ExtraTreesEntr,0.3211009174311927,0.676,accuracy,0.1538248062133789,0.06851816177368164,0.9723906517028809,0.1538248062133789,0.06851816177368164,0.9723906517028809,1,True,10
7,RandomForestGini,0.29357798165137616,0.694,accuracy,0.07447552680969238,0.04981708526611328,0.6359214782714844,0.07447552680969238,0.04981708526611328,0.6359214782714844,1,True,6
8,CatBoost,0.25688073394495414,0.708,accuracy,0.007993698120117188,0.0020046234130859375,2.485776424407959,0.007993698120117188,0.0020046234130859375,2.485776424407959,1,True,8
9,KNeighborsUnif,0.24770642201834864,0.59,accuracy,0.01653766632080078,0.018738746643066406,0.008011341094970703,0.01653766632080078,0.018738746643066406,0.008011341094970703,1,True,1
10,RandomForestEntr,0.24770642201834864,0.702,accuracy,0.08539915084838867,0.049524784088134766,0.720524787902832,0.08539915084838867,0.049524784088134766,0.720524787902832,1,True,7
11,KNeighborsDist,0.22935779816513763,0.564,accuracy,0.017963647842407227,0.019965410232543945,0.005110502243041992,0.017963647842407227,0.019965410232543945,0.005110502243041992,1,True,2
12,NeuralNetTorch,0.21100917431192662,0.652,accuracy,0.012000560760498047,0.00590205192565918,12.519637107849121,0.012000560760498047,0.00590205192565918,12.519637107849121,1,True,12
13,LightGBMXT,0.1834862385321101,0.7,accuracy,0.025009632110595703,0.014002323150634766,1.3135771751403809,0.025009632110595703,0.014002323150634766,1.3135771751403809,1,True,4
