,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,LightGBMXT,0.8923076923076924,0.6946107784431138,accuracy,0.025516986846923828,0.008998870849609375,1.206003189086914,0.025516986846923828,0.008998870849609375,1.206003189086914,1,True,4
1,CatBoost,0.8769230769230769,0.7125748502994012,accuracy,0.007085323333740234,0.0020346641540527344,2.487297534942627,0.007085323333740234,0.0020346641540527344,2.487297534942627,1,True,8
2,WeightedEnsemble_L2,0.8769230769230769,0.7125748502994012,accuracy,0.00808572769165039,0.0020346641540527344,2.602919578552246,0.0010004043579101562,0.0,0.11562204360961914,2,True,14
3,LightGBM,0.8461538461538461,0.7105788423153693,accuracy,0.024903535842895508,0.008999109268188477,1.299302339553833,0.024903535842895508,0.008999109268188477,1.299302339553833,1,True,5
4,NeuralNetTorch,0.8307692307692308,0.6307385229540918,accuracy,0.011518001556396484,0.004975318908691406,10.46068263053894,0.011518001556396484,0.004975318908691406,10.46068263053894,1,True,12
5,XGBoost,0.8307692307692308,0.7065868263473054,accuracy,0.050919294357299805,0.0029997825622558594,0.7708144187927246,0.050919294357299805,0.0029997825622558594,0.7708144187927246,1,True,11
6,ExtraTreesGini,0.8153846153846154,0.6666666666666666,accuracy,0.08786177635192871,0.05741119384765625,0.6344339847564697,0.08786177635192871,0.05741119384765625,0.6344339847564697,1,True,9
7,ExtraTreesEntr,0.8,0.6606786427145709,accuracy,0.1539604663848877,0.05521726608276367,0.6666309833526611,0.1539604663848877,0.05521726608276367,0.6666309833526611,1,True,10
8,RandomForestGini,0.7692307692307693,0.6946107784431138,accuracy,0.08312296867370605,0.04519033432006836,0.6698856353759766,0.08312296867370605,0.04519033432006836,0.6698856353759766,1,True,6
9,RandomForestEntr,0.7538461538461538,0.6906187624750499,accuracy,0.06478142738342285,0.04509902000427246,0.697157621383667,0.06478142738342285,0.04509902000427246,0.697157621383667,1,True,7
10,LightGBMLarge,0.7384615384615385,0.6926147704590818,accuracy,0.006999492645263672,0.003901243209838867,1.8209948539733887,0.006999492645263672,0.003901243209838867,1.8209948539733887,1,True,13
11,NeuralNetFastAI,0.7384615384615385,0.5668662674650699,accuracy,0.012535810470581055,0.016403675079345703,2.480706214904785,0.012535810470581055,0.016403675079345703,2.480706214904785,1,True,3
12,KNeighborsUnif,0.7076923076923077,0.5688622754491018,accuracy,0.02421402931213379,0.01605820655822754,0.00597691535949707,0.02421402931213379,0.01605820655822754,0.00597691535949707,1,True,1
13,KNeighborsDist,0.6615384615384615,0.5608782435129741,accuracy,0.024074316024780273,0.017596960067749023,0.0039865970611572266,0.024074316024780273,0.017596960067749023,0.0039865970611572266,1,True,2
