,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_L2,0.705686,0.738,accuracy,0.172284,0.098612,4.740486,0.002999,0.0,0.128502,2,True,14
1,XGBoost,0.702341,0.724,accuracy,0.040999,0.002003,0.737566,0.040999,0.002003,0.737566,1,True,11
2,CatBoost,0.695652,0.73,accuracy,0.008985,0.002004,3.411042,0.008985,0.002004,3.411042,1,True,8
3,RandomForestEntr,0.695652,0.7,accuracy,0.084018,0.050001,0.705873,0.084018,0.050001,0.705873,1,True,7
4,LightGBMXT,0.692308,0.7,accuracy,0.036994,0.008,0.981889,0.036994,0.008,0.981889,1,True,4
5,RandomForestGini,0.688963,0.716,accuracy,0.069997,0.046494,0.618515,0.069997,0.046494,0.618515,1,True,6
6,ExtraTreesGini,0.682274,0.68,accuracy,0.090303,0.050113,0.582427,0.090303,0.050113,0.582427,1,True,9
7,LightGBM,0.67893,0.726,accuracy,0.020001,0.008,0.920791,0.020001,0.008,0.920791,1,True,5
8,ExtraTreesEntr,0.67893,0.674,accuracy,0.093998,0.04818,0.570518,0.093998,0.04818,0.570518,1,True,10
9,LightGBMLarge,0.672241,0.708,accuracy,0.008999,0.004001,1.636882,0.008999,0.004001,1.636882,1,True,13
10,NeuralNetTorch,0.628763,0.676,accuracy,0.012,0.010003,15.966522,0.012,0.010003,15.966522,1,True,12
11,KNeighborsDist,0.551839,0.55,accuracy,0.023597,0.02163,0.007992,0.023597,0.02163,0.007992,1,True,2
12,KNeighborsUnif,0.551839,0.554,accuracy,0.027583,0.022826,0.006042,0.027583,0.022826,0.006042,1,True,1
13,NeuralNetFastAI,0.525084,0.602,accuracy,0.02418,0.010004,2.142445,0.02418,0.010004,2.142445,1,True,3
