,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,RandomForestGini,0.7926421404682275,0.762,accuracy,0.06651878356933594,0.04603934288024902,0.6204338073730469,0.06651878356933594,0.04603934288024902,0.6204338073730469,1,True,5
1,RandomForestEntr,0.7859531772575251,0.754,accuracy,0.08105206489562988,0.05057692527770996,0.6030840873718262,0.08105206489562988,0.05057692527770996,0.6030840873718262,1,True,6
2,LightGBM,0.7792642140468228,0.794,accuracy,0.002999544143676758,0.004002571105957031,0.47258639335632324,0.002999544143676758,0.004002571105957031,0.47258639335632324,1,True,4
3,XGBoost,0.7792642140468228,0.81,accuracy,0.028582334518432617,0.0019998550415039062,0.5350503921508789,0.028582334518432617,0.0019998550415039062,0.5350503921508789,1,True,11
4,WeightedEnsemble_L2,0.7792642140468228,0.818,accuracy,0.25827527046203613,0.14301252365112305,7.025444030761719,0.0060007572174072266,0.0009808540344238281,0.12551021575927734,2,True,14
5,CatBoost,0.7725752508361204,0.814,accuracy,0.005982398986816406,0.0010001659393310547,1.3896923065185547,0.005982398986816406,0.0010001659393310547,1.3896923065185547,1,True,7
6,LightGBMLarge,0.7658862876254181,0.788,accuracy,0.0070226192474365234,0.003999233245849609,0.8321816921234131,0.0070226192474365234,0.003999233245849609,0.8321816921234131,1,True,13
7,LightGBMXT,0.7625418060200669,0.788,accuracy,0.023991107940673828,0.012683629989624023,1.385016679763794,0.023991107940673828,0.012683629989624023,1.385016679763794,1,True,3
8,ExtraTreesGini,0.7558528428093646,0.754,accuracy,0.07891321182250977,0.08498501777648926,0.8745942115783691,0.07891321182250977,0.08498501777648926,0.8745942115783691,1,True,8
9,ExtraTreesEntr,0.7525083612040134,0.76,accuracy,0.11223769187927246,0.04806327819824219,0.573617696762085,0.11223769187927246,0.04806327819824219,0.573617696762085,1,True,9
10,KNeighborsUnif,0.6822742474916388,0.658,accuracy,0.022369384765625,0.017496109008789062,0.0059986114501953125,0.022369384765625,0.017496109008789062,0.0059986114501953125,1,True,1
11,KNeighborsDist,0.6755852842809364,0.664,accuracy,0.027443408966064453,0.017035484313964844,0.005489826202392578,0.027443408966064453,0.017035484313964844,0.005489826202392578,1,True,2
12,NeuralNetFastAI,0.6688963210702341,0.718,accuracy,0.017128705978393555,0.019391298294067383,2.0145552158355713,0.017128705978393555,0.019391298294067383,2.0145552158355713,1,True,10
13,NeuralNetTorch,0.6622073578595318,0.742,accuracy,0.026558876037597656,0.0059833526611328125,3.5269792079925537,0.026558876037597656,0.0059833526611328125,3.5269792079925537,1,True,12
