,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,RandomForestEntr,0.8127090301003345,0.79,accuracy,0.06311678886413574,0.04866933822631836,0.6253573894500732,0.06311678886413574,0.04866933822631836,0.6253573894500732,1,True,6
1,XGBoost,0.802675585284281,0.802,accuracy,0.013997793197631836,0.0019998550415039062,0.37685608863830566,0.013997793197631836,0.0019998550415039062,0.37685608863830566,1,True,11
2,RandomForestGini,0.7959866220735786,0.778,accuracy,0.08450841903686523,0.0486454963684082,0.6037323474884033,0.08450841903686523,0.0486454963684082,0.6037323474884033,1,True,5
3,CatBoost,0.7792642140468228,0.8,accuracy,0.003998756408691406,0.0009999275207519531,1.1845510005950928,0.003998756408691406,0.0009999275207519531,1.1845510005950928,1,True,7
4,LightGBM,0.7725752508361204,0.81,accuracy,0.0039980411529541016,0.004001617431640625,0.49963951110839844,0.0039980411529541016,0.004001617431640625,0.49963951110839844,1,True,4
5,WeightedEnsemble_L2,0.7725752508361204,0.81,accuracy,0.0060007572174072266,0.004001617431640625,0.6190581321716309,0.002002716064453125,0.0,0.11941862106323242,2,True,14
6,LightGBMLarge,0.7591973244147158,0.79,accuracy,0.006001472473144531,0.004955291748046875,0.9366869926452637,0.006001472473144531,0.004955291748046875,0.9366869926452637,1,True,13
7,LightGBMXT,0.7558528428093646,0.804,accuracy,0.0195162296295166,0.007512569427490234,1.0165042877197266,0.0195162296295166,0.007512569427490234,1.0165042877197266,1,True,3
8,ExtraTreesEntr,0.7491638795986622,0.738,accuracy,0.09128212928771973,0.07678699493408203,0.7366297245025635,0.09128212928771973,0.07678699493408203,0.7366297245025635,1,True,9
9,ExtraTreesGini,0.7391304347826086,0.734,accuracy,0.07381582260131836,0.07770371437072754,0.7932291030883789,0.07381582260131836,0.07770371437072754,0.7932291030883789,1,True,8
10,NeuralNetTorch,0.68561872909699,0.738,accuracy,0.010000467300415039,0.004954338073730469,12.380195617675781,0.010000467300415039,0.004954338073730469,12.380195617675781,1,True,12
11,KNeighborsUnif,0.6488294314381271,0.654,accuracy,0.021720170974731445,0.01778101921081543,0.004996538162231445,0.021720170974731445,0.01778101921081543,0.004996538162231445,1,True,1
12,KNeighborsDist,0.6454849498327759,0.668,accuracy,0.028049230575561523,0.017076969146728516,0.005013942718505859,0.028049230575561523,0.017076969146728516,0.005013942718505859,1,True,2
13,NeuralNetFastAI,0.6354515050167224,0.688,accuracy,0.021801471710205078,0.016079187393188477,2.3665177822113037,0.021801471710205078,0.016079187393188477,2.3665177822113037,1,True,10
