,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,LightGBMXT,0.6226415094339622,0.816,accuracy,0.04301738739013672,0.008511781692504883,1.4836561679840088,0.04301738739013672,0.008511781692504883,1.4836561679840088,1,True,3
1,LightGBM,0.6037735849056604,0.834,accuracy,0.0065326690673828125,0.004004240036010742,0.5078492164611816,0.0065326690673828125,0.004004240036010742,0.5078492164611816,1,True,4
2,NeuralNetFastAI,0.6037735849056604,0.704,accuracy,0.035956382751464844,0.008115291595458984,2.2940590381622314,0.035956382751464844,0.008115291595458984,2.2940590381622314,1,True,10
3,CatBoost,0.5974842767295597,0.826,accuracy,0.005963563919067383,0.001026153564453125,1.4000182151794434,0.005963563919067383,0.001026153564453125,1.4000182151794434,1,True,7
4,WeightedEnsemble_L2,0.5911949685534591,0.844,accuracy,0.02382946014404297,0.005029439926147461,1.969672441482544,0.0020008087158203125,0.001001119613647461,0.11760687828063965,2,True,14
5,ExtraTreesGini,0.5849056603773585,0.754,accuracy,0.08758378028869629,0.10206317901611328,0.6762220859527588,0.08758378028869629,0.10206317901611328,0.6762220859527588,1,True,8
6,XGBoost,0.5786163522012578,0.838,accuracy,0.015865087509155273,0.003002166748046875,0.45204734802246094,0.015865087509155273,0.003002166748046875,0.45204734802246094,1,True,11
7,LightGBMLarge,0.5723270440251572,0.814,accuracy,0.00838780403137207,0.005001544952392578,0.9277806282043457,0.00838780403137207,0.005001544952392578,0.9277806282043457,1,True,13
8,ExtraTreesEntr,0.5660377358490566,0.768,accuracy,0.11333847045898438,0.06303524971008301,0.6608762741088867,0.11333847045898438,0.06303524971008301,0.6608762741088867,1,True,9
9,NeuralNetTorch,0.559748427672956,0.778,accuracy,0.009865283966064453,0.004999637603759766,7.974390029907227,0.009865283966064453,0.004999637603759766,7.974390029907227,1,True,12
10,RandomForestEntr,0.559748427672956,0.78,accuracy,0.06498193740844727,0.06099271774291992,0.7567665576934814,0.06498193740844727,0.06099271774291992,0.7567665576934814,1,True,6
11,RandomForestGini,0.559748427672956,0.792,accuracy,0.09046745300292969,0.052993059158325195,0.7143199443817139,0.09046745300292969,0.052993059158325195,0.7143199443817139,1,True,5
12,KNeighborsUnif,0.5345911949685535,0.662,accuracy,0.016995906829833984,0.01900172233581543,0.003985404968261719,0.016995906829833984,0.01900172233581543,0.003985404968261719,1,True,1
13,KNeighborsDist,0.5345911949685535,0.664,accuracy,0.021276473999023438,0.017534255981445312,0.007020711898803711,0.021276473999023438,0.017534255981445312,0.007020711898803711,1,True,2
