,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,RandomForestEntr,0.7619047619047619,0.778,accuracy,0.05674862861633301,0.050794124603271484,0.6377120018005371,0.05674862861633301,0.050794124603271484,0.6377120018005371,1,True,6
1,RandomForestGini,0.7619047619047619,0.778,accuracy,0.10102677345275879,0.0374760627746582,0.6034705638885498,0.10102677345275879,0.0374760627746582,0.6034705638885498,1,True,5
2,ExtraTreesGini,0.753968253968254,0.76,accuracy,0.11578774452209473,0.06096959114074707,0.6706194877624512,0.11578774452209473,0.06096959114074707,0.6706194877624512,1,True,8
3,LightGBMLarge,0.746031746031746,0.774,accuracy,0.009965658187866211,0.003999948501586914,0.8667304515838623,0.009965658187866211,0.003999948501586914,0.8667304515838623,1,True,13
4,LightGBMXT,0.7380952380952381,0.792,accuracy,0.01621246337890625,0.0050048828125,0.7711594104766846,0.01621246337890625,0.0050048828125,0.7711594104766846,1,True,3
5,LightGBM,0.7301587301587301,0.796,accuracy,0.006994962692260742,0.003000974655151367,0.47985363006591797,0.006994962692260742,0.003000974655151367,0.47985363006591797,1,True,4
6,NeuralNetTorch,0.7301587301587301,0.732,accuracy,0.018207073211669922,0.00500035285949707,6.311271667480469,0.018207073211669922,0.00500035285949707,6.311271667480469,1,True,12
7,CatBoost,0.7222222222222222,0.792,accuracy,0.006042957305908203,0.0020079612731933594,2.3708014488220215,0.006042957305908203,0.0020079612731933594,2.3708014488220215,1,True,7
8,KNeighborsUnif,0.7222222222222222,0.674,accuracy,0.03514838218688965,0.016999006271362305,0.005014896392822266,0.03514838218688965,0.016999006271362305,0.005014896392822266,1,True,1
9,KNeighborsDist,0.7142857142857143,0.67,accuracy,0.023018598556518555,0.017520666122436523,0.003999471664428711,0.023018598556518555,0.017520666122436523,0.003999471664428711,1,True,2
10,NeuralNetFastAI,0.7063492063492064,0.692,accuracy,0.03071141242980957,0.009924650192260742,2.202871084213257,0.03071141242980957,0.009924650192260742,2.202871084213257,1,True,10
11,ExtraTreesEntr,0.7063492063492064,0.78,accuracy,0.10633707046508789,0.0485081672668457,0.6364307403564453,0.10633707046508789,0.0485081672668457,0.6364307403564453,1,True,9
12,WeightedEnsemble_L2,0.6666666666666666,0.816,accuracy,0.045575857162475586,0.007998466491699219,6.917114019393921,0.0032508373260498047,0.00099945068359375,0.11911463737487793,2,True,14
13,XGBoost,0.6111111111111112,0.804,accuracy,0.02411794662475586,0.0019986629486083984,0.4867277145385742,0.02411794662475586,0.0019986629486083984,0.4867277145385742,1,True,11
