,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,NeuralNetTorch,0.4691358024691358,0.768,accuracy,0.022000789642333984,0.004995822906494141,5.280812978744507,0.022000789642333984,0.004995822906494141,5.280812978744507,1,True,12
1,NeuralNetFastAI,0.46296296296296297,0.724,accuracy,0.0286102294921875,0.008901119232177734,2.672086238861084,0.0286102294921875,0.008901119232177734,2.672086238861084,1,True,10
2,KNeighborsUnif,0.42592592592592593,0.708,accuracy,0.021744728088378906,0.01743340492248535,0.004013776779174805,0.021744728088378906,0.01743340492248535,0.004013776779174805,1,True,1
3,KNeighborsDist,0.41975308641975306,0.704,accuracy,0.027286767959594727,0.018069744110107422,0.005024433135986328,0.027286767959594727,0.018069744110107422,0.005024433135986328,1,True,2
4,ExtraTreesEntr,0.3950617283950617,0.784,accuracy,0.10476398468017578,0.04867076873779297,0.7146496772766113,0.10476398468017578,0.04867076873779297,0.7146496772766113,1,True,9
5,LightGBMXT,0.3888888888888889,0.822,accuracy,0.0379939079284668,0.007516384124755859,1.1926872730255127,0.0379939079284668,0.007516384124755859,1.1926872730255127,1,True,3
6,ExtraTreesGini,0.3888888888888889,0.786,accuracy,0.11646008491516113,0.0899956226348877,0.7215697765350342,0.11646008491516113,0.0899956226348877,0.7215697765350342,1,True,8
7,RandomForestEntr,0.35802469135802467,0.824,accuracy,0.07064342498779297,0.04788994789123535,0.595761775970459,0.07064342498779297,0.04788994789123535,0.595761775970459,1,True,6
8,RandomForestGini,0.35802469135802467,0.818,accuracy,0.09531545639038086,0.04857587814331055,0.6188809871673584,0.09531545639038086,0.04857587814331055,0.6188809871673584,1,True,5
9,LightGBMLarge,0.35185185185185186,0.828,accuracy,0.021999359130859375,0.004948616027832031,1.1973538398742676,0.021999359130859375,0.004948616027832031,1.1973538398742676,1,True,13
10,XGBoost,0.3395061728395062,0.826,accuracy,0.041785240173339844,0.001999378204345703,0.49656128883361816,0.041785240173339844,0.001999378204345703,0.49656128883361816,1,True,11
11,CatBoost,0.3271604938271605,0.83,accuracy,0.008989572525024414,0.0,1.349205732345581,0.008989572525024414,0.0,1.349205732345581,1,True,7
12,WeightedEnsemble_L2,0.32098765432098764,0.836,accuracy,0.13772916793823242,0.09499645233154297,2.7623939514160156,0.001998424530029297,0.0009989738464355469,0.11786270141601562,2,True,14
13,LightGBM,0.30864197530864196,0.832,accuracy,0.010281085968017578,0.0040018558502197266,0.5737557411193848,0.010281085968017578,0.0040018558502197266,0.5737557411193848,1,True,4
