,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,NeuralNetTorch,0.6111111111111112,0.762,accuracy,0.008505821228027344,0.0040454864501953125,7.051231622695923,0.008505821228027344,0.0040454864501953125,7.051231622695923,1,True,12
1,CatBoost,0.5802469135802469,0.826,accuracy,0.005017518997192383,0.0009987354278564453,1.8804633617401123,0.005017518997192383,0.0009987354278564453,1.8804633617401123,1,True,7
2,WeightedEnsemble_L2,0.5802469135802469,0.828,accuracy,0.025835037231445312,0.023000478744506836,2.0017993450164795,0.0019958019256591797,0.0009992122650146484,0.11633777618408203,2,True,14
3,LightGBMLarge,0.5740740740740741,0.804,accuracy,0.00800466537475586,0.00400090217590332,0.9733097553253174,0.00800466537475586,0.00400090217590332,0.9733097553253174,1,True,13
4,XGBoost,0.5555555555555556,0.81,accuracy,0.0290071964263916,0.0037755966186523438,0.5875856876373291,0.0290071964263916,0.0037755966186523438,0.5875856876373291,1,True,11
5,LightGBMXT,0.5432098765432098,0.79,accuracy,0.01700568199157715,0.0050008296966552734,0.8605961799621582,0.01700568199157715,0.0050008296966552734,0.8605961799621582,1,True,3
6,NeuralNetFastAI,0.5370370370370371,0.716,accuracy,0.01797628402709961,0.007999420166015625,2.0918962955474854,0.01797628402709961,0.007999420166015625,2.0918962955474854,1,True,10
7,RandomForestEntr,0.5370370370370371,0.79,accuracy,0.06765007972717285,0.0384678840637207,0.5786991119384766,0.06765007972717285,0.0384678840637207,0.5786991119384766,1,True,6
8,RandomForestGini,0.5308641975308642,0.79,accuracy,0.10151958465576172,0.03742194175720215,0.6334502696990967,0.10151958465576172,0.03742194175720215,0.6334502696990967,1,True,5
9,ExtraTreesEntr,0.5246913580246914,0.776,accuracy,0.07280731201171875,0.07506322860717773,0.5960800647735596,0.07280731201171875,0.07506322860717773,0.5960800647735596,1,True,9
10,LightGBM,0.5061728395061729,0.816,accuracy,0.006996631622314453,0.0029664039611816406,0.4814267158508301,0.006996631622314453,0.0029664039611816406,0.4814267158508301,1,True,4
11,KNeighborsUnif,0.5061728395061729,0.68,accuracy,0.01882171630859375,0.021002531051635742,0.004998207092285156,0.01882171630859375,0.021002531051635742,0.004998207092285156,1,True,1
12,KNeighborsDist,0.49382716049382713,0.672,accuracy,0.01806020736694336,0.020995616912841797,0.0050466060638427734,0.01806020736694336,0.020995616912841797,0.0050466060638427734,1,True,2
13,ExtraTreesGini,0.49382716049382713,0.774,accuracy,0.07648777961730957,0.07491827011108398,0.570880651473999,0.07648777961730957,0.07491827011108398,0.570880651473999,1,True,8
