,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,NeuralNetTorch,0.6981132075471698,0.76,accuracy,0.00900125503540039,0.00594782829284668,9.002716779708862,0.00900125503540039,0.00594782829284668,9.002716779708862,1,True,12
1,NeuralNetFastAI,0.6415094339622641,0.716,accuracy,0.021946191787719727,0.007982254028320312,2.4840383529663086,0.021946191787719727,0.007982254028320312,2.4840383529663086,1,True,10
2,LightGBMLarge,0.6226415094339622,0.786,accuracy,0.0069997310638427734,0.004207611083984375,0.9407389163970947,0.0069997310638427734,0.004207611083984375,0.9407389163970947,1,True,13
3,ExtraTreesEntr,0.6163522012578616,0.75,accuracy,0.12960028648376465,0.039035797119140625,0.5778143405914307,0.12960028648376465,0.039035797119140625,0.5778143405914307,1,True,9
4,RandomForestGini,0.610062893081761,0.77,accuracy,0.07399725914001465,0.04786324501037598,0.6514089107513428,0.07399725914001465,0.04786324501037598,0.6514089107513428,1,True,5
5,KNeighborsUnif,0.6037735849056604,0.674,accuracy,0.03136301040649414,0.01705312728881836,0.004998445510864258,0.03136301040649414,0.01705312728881836,0.004998445510864258,1,True,1
6,KNeighborsDist,0.5974842767295597,0.66,accuracy,0.026050329208374023,0.01671290397644043,0.00501561164855957,0.026050329208374023,0.01671290397644043,0.00501561164855957,1,True,2
7,ExtraTreesGini,0.5974842767295597,0.756,accuracy,0.08601570129394531,0.04753851890563965,0.6256542205810547,0.08601570129394531,0.04753851890563965,0.6256542205810547,1,True,8
8,RandomForestEntr,0.5911949685534591,0.762,accuracy,0.06552791595458984,0.047043800354003906,0.6217162609100342,0.06552791595458984,0.047043800354003906,0.6217162609100342,1,True,6
9,LightGBMXT,0.5786163522012578,0.788,accuracy,0.013538599014282227,0.0060007572174072266,0.8721432685852051,0.013538599014282227,0.0060007572174072266,0.8721432685852051,1,True,3
10,XGBoost,0.5723270440251572,0.794,accuracy,0.011506080627441406,0.0019998550415039062,0.42435169219970703,0.011506080627441406,0.0019998550415039062,0.42435169219970703,1,True,11
11,WeightedEnsemble_L2,0.5660377358490566,0.808,accuracy,0.20499300956726074,0.07329821586608887,4.733821153640747,0.004003047943115234,0.001001119613647461,0.11053228378295898,2,True,14
12,CatBoost,0.5345911949685535,0.798,accuracy,0.0059833526611328125,0.0009999275207519531,1.3011136054992676,0.0059833526611328125,0.0009999275207519531,1.3011136054992676,1,True,7
13,LightGBM,0.5094339622641509,0.796,accuracy,0.0019989013671875,0.003000020980834961,0.5021286010742188,0.0019989013671875,0.003000020980834961,0.5021286010742188,1,True,4
